cell_id,row,col,x_norm,y_norm,width_norm,height_norm,lat,lon
0,0,0,0.01,0.01,0.02,0.02,,
1,0,1,0.03,0.01,0.02,0.02,,
2,0,2,0.05,0.01,0.02,0.02,,
3,0,3,0.07,0.01,0.02,0.02,,
4,0,4,0.09,0.01,0.02,0.02,,
5,0,5,0.11,0.01,0.02,0.02,,
6,0,6,0.13,0.01,0.02,0.02,,
7,0,7,0.15,0.01,0.02,0.02,,
8,0,8,0.17,0.01,0.02,0.02,,
9,0,9,0.19,0.01,0.02,0.02,,
10,0,10,0.21,0.01,0.02,0.02,,
11,0,11,0.23,0.01,0.02,0.02,,
12,0,12,0.25,0.01,0.02,0.02,,
13,0,13,0.27,0.01,0.02,0.02,,
14,0,14,0.29,0.01,0.02,0.02,,
15,0,15,0.31,0.01,0.02,0.02,,
16,0,16,0.33,0.01,0.02,0.02,,
17,0,17,0.35,0.01,0.02,0.02,,
18,0,18,0.37,0.01,0.02,0.02,,
19,0,19,0.39,0.01,0.02,0.02,,
20,0,20,0.41,0.01,0.02,0.02,,
21,0,21,0.43,0.01,0.02,0.02,,
22,0,22,0.45,0.01,0.02,0.02,,
23,0,23,0.47,0.01,0.02,0.02,,
24,0,24,0.49,0.01,0.02,0.02,,
25,0,25,0.51,0.01,0.02,0.02,,
26,0,26,0.53,0.01,0.02,0.02,,
27,0,27,0.55,0.01,0.02,0.02,,
28,0,28,0.57,0.01,0.02,0.02,,
29,0,29,0.59,0.01,0.02,0.02,,
30,0,30,0.61,0.01,0.02,0.02,,
31,0,31,0.63,0.01,0.02,0.02,,
32,0,32,0.65,0.01,0.02,0.02,,
33,0,33,0.67,0.01,0.02,0.02,,
34,0,34,0.69,0.01,0.02,0.02,,
35,0,35,0.71,0.01,0.02,0.02,,
36,0,36,0.73,0.01,0.02,0.02,,
37,0,37,0.75,0.01,0.02,0.02,,
38,0,38,0.77,0.01,0.02,0.02,,
39,0,39,0.79,0.01,0.02,0.02,,
40,0,40,0.81,0.01,0.02,0.02,,
41,0,41,0.83,0.01,0.02,0.02,,
42,0,42,0.85,0.01,0.02,0.02,,
43,0,43,0.87,0.01,0.02,0.02,,
44,0,44,0.89,0.01,0.02,0.02,,
45,0,45,0.91,0.01,0.02,0.02,,
46,0,46,0.93,0.01,0.02,0.02,,
47,0,47,0.95,0.01,0.02,0.02,,
48,0,48,0.97,0.01,0.02,0.02,,
49,0,49,0.99,0.01,0.02,0.02,,
50,1,0,0.01,0.03,0.02,0.02,,
51,1,1,0.03,0.03,0.02,0.02,,
52,1,2,0.05,0.03,0.02,0.02,,
53,1,3,0.07,0.03,0.02,0.02,,
54,1,4,0.09,0.03,0.02,0.02,,
55,1,5,0.11,0.03,0.02,0.02,,
56,1,6,0.13,0.03,0.02,0.02,,
57,1,7,0.15,0.03,0.02,0.02,,
58,1,8,0.17,0.03,0.02,0.02,,
59,1,9,0.19,0.03,0.02,0.02,,
60,1,10,0.21,0.03,0.02,0.02,,
61,1,11,0.23,0.03,0.02,0.02,,
62,1,12,0.25,0.03,0.02,0.02,,
63,1,13,0.27,0.03,0.02,0.02,,
64,1,14,0.29,0.03,0.02,0.02,,
65,1,15,0.31,0.03,0.02,0.02,,
66,1,16,0.33,0.03,0.02,0.02,,
67,1,17,0.35,0.03,0.02,0.02,,
68,1,18,0.37,0.03,0.02,0.02,,
69,1,19,0.39,0.03,0.02,0.02,,
70,1,20,0.41,0.03,0.02,0.02,,
71,1,21,0.43,0.03,0.02,0.02,,
72,1,22,0.45,0.03,0.02,0.02,,
73,1,23,0.47,0.03,0.02,0.02,,
74,1,24,0.49,0.03,0.02,0.02,,
75,1,25,0.51,0.03,0.02,0.02,,
76,1,26,0.53,0.03,0.02,0.02,,
77,1,27,0.55,0.03,0.02,0.02,,
78,1,28,0.57,0.03,0.02,0.02,,
79,1,29,0.59,0.03,0.02,0.02,,
80,1,30,0.61,0.03,0.02,0.02,,
81,1,31,0.63,0.03,0.02,0.02,,
82,1,32,0.65,0.03,0.02,0.02,,
83,1,33,0.67,0.03,0.02,0.02,,
84,1,34,0.69,0.03,0.02,0.02,,
85,1,35,0.71,0.03,0.02,0.02,,
86,1,36,0.73,0.03,0.02,0.02,,
87,1,37,0.75,0.03,0.02,0.02,,
88,1,38,0.77,0.03,0.02,0.02,,
89,1,39,0.79,0.03,0.02,0.02,,
90,1,40,0.81,0.03,0.02,0.02,,
91,1,41,0.83,0.03,0.02,0.02,,
92,1,42,0.85,0.03,0.02,0.02,,
93,1,43,0.87,0.03,0.02,0.02,,
94,1,44,0.89,0.03,0.02,0.02,,
95,1,45,0.91,0.03,0.02,0.02,,
96,1,46,0.93,0.03,0.02,0.02,,
97,1,47,0.95,0.03,0.02,0.02,,
98,1,48,0.97,0.03,0.02,0.02,,
99,1,49,0.99,0.03,0.02,0.02,,
100,2,0,0.01,0.05,0.02,0.02,,
101,2,1,0.03,0.05,0.02,0.02,,
102,2,2,0.05,0.05,0.02,0.02,,
103,2,3,0.07,0.05,0.02,0.02,,
104,2,4,0.09,0.05,0.02,0.02,,
105,2,5,0.11,0.05,0.02,0.02,,
106,2,6,0.13,0.05,0.02,0.02,,
107,2,7,0.15,0.05,0.02,0.02,,
108,2,8,0.17,0.05,0.02,0.02,,
109,2,9,0.19,0.05,0.02,0.02,,
110,2,10,0.21,0.05,0.02,0.02,,
111,2,11,0.23,0.05,0.02,0.02,,
112,2,12,0.25,0.05,0.02,0.02,,
113,2,13,0.27,0.05,0.02,0.02,,
114,2,14,0.29,0.05,0.02,0.02,,
115,2,15,0.31,0.05,0.02,0.02,,
116,2,16,0.33,0.05,0.02,0.02,,
117,2,17,0.35,0.05,0.02,0.02,,
118,2,18,0.37,0.05,0.02,0.02,,
119,2,19,0.39,0.05,0.02,0.02,,
120,2,20,0.41,0.05,0.02,0.02,,
121,2,21,0.43,0.05,0.02,0.02,,
122,2,22,0.45,0.05,0.02,0.02,,
123,2,23,0.47,0.05,0.02,0.02,,
124,2,24,0.49,0.05,0.02,0.02,,
125,2,25,0.51,0.05,0.02,0.02,,
126,2,26,0.53,0.05,0.02,0.02,,
127,2,27,0.55,0.05,0.02,0.02,,
128,2,28,0.57,0.05,0.02,0.02,,
129,2,29,0.59,0.05,0.02,0.02,,
130,2,30,0.61,0.05,0.02,0.02,,
131,2,31,0.63,0.05,0.02,0.02,,
132,2,32,0.65,0.05,0.02,0.02,,
133,2,33,0.67,0.05,0.02,0.02,,
134,2,34,0.69,0.05,0.02,0.02,,
135,2,35,0.71,0.05,0.02,0.02,,
136,2,36,0.73,0.05,0.02,0.02,,
137,2,37,0.75,0.05,0.02,0.02,,
138,2,38,0.77,0.05,0.02,0.02,,
139,2,39,0.79,0.05,0.02,0.02,,
140,2,40,0.81,0.05,0.02,0.02,,
141,2,41,0.83,0.05,0.02,0.02,,
142,2,42,0.85,0.05,0.02,0.02,,
143,2,43,0.87,0.05,0.02,0.02,,
144,2,44,0.89,0.05,0.02,0.02,,
145,2,45,0.91,0.05,0.02,0.02,,
146,2,46,0.93,0.05,0.02,0.02,,
147,2,47,0.95,0.05,0.02,0.02,,
148,2,48,0.97,0.05,0.02,0.02,,
149,2,49,0.99,0.05,0.02,0.02,,
150,3,0,0.01,0.07,0.02,0.02,,
151,3,1,0.03,0.07,0.02,0.02,,
152,3,2,0.05,0.07,0.02,0.02,,
153,3,3,0.07,0.07,0.02,0.02,,
154,3,4,0.09,0.07,0.02,0.02,,
155,3,5,0.11,0.07,0.02,0.02,,
156,3,6,0.13,0.07,0.02,0.02,,
157,3,7,0.15,0.07,0.02,0.02,,
158,3,8,0.17,0.07,0.02,0.02,,
159,3,9,0.19,0.07,0.02,0.02,,
160,3,10,0.21,0.07,0.02,0.02,,
161,3,11,0.23,0.07,0.02,0.02,,
162,3,12,0.25,0.07,0.02,0.02,,
163,3,13,0.27,0.07,0.02,0.02,,
164,3,14,0.29,0.07,0.02,0.02,,
165,3,15,0.31,0.07,0.02,0.02,,
166,3,16,0.33,0.07,0.02,0.02,,
167,3,17,0.35,0.07,0.02,0.02,,
168,3,18,0.37,0.07,0.02,0.02,,
169,3,19,0.39,0.07,0.02,0.02,,
170,3,20,0.41,0.07,0.02,0.02,,
171,3,21,0.43,0.07,0.02,0.02,,
172,3,22,0.45,0.07,0.02,0.02,,
173,3,23,0.47,0.07,0.02,0.02,,
174,3,24,0.49,0.07,0.02,0.02,,
175,3,25,0.51,0.07,0.02,0.02,,
176,3,26,0.53,0.07,0.02,0.02,,
177,3,27,0.55,0.07,0.02,0.02,,
178,3,28,0.57,0.07,0.02,0.02,,
179,3,29,0.59,0.07,0.02,0.02,,
180,3,30,0.61,0.07,0.02,0.02,,
181,3,31,0.63,0.07,0.02,0.02,,
182,3,32,0.65,0.07,0.02,0.02,,
183,3,33,0.67,0.07,0.02,0.02,,
184,3,34,0.69,0.07,0.02,0.02,,
185,3,35,0.71,0.07,0.02,0.02,,
186,3,36,0.73,0.07,0.02,0.02,,
187,3,37,0.75,0.07,0.02,0.02,,
188,3,38,0.77,0.07,0.02,0.02,,
189,3,39,0.79,0.07,0.02,0.02,,
190,3,40,0.81,0.07,0.02,0.02,,
191,3,41,0.83,0.07,0.02,0.02,,
192,3,42,0.85,0.07,0.02,0.02,,
193,3,43,0.87,0.07,0.02,0.02,,
194,3,44,0.89,0.07,0.02,0.02,,
195,3,45,0.91,0.07,0.02,0.02,,
196,3,46,0.93,0.07,0.02,0.02,,
197,3,47,0.95,0.07,0.02,0.02,,
198,3,48,0.97,0.07,0.02,0.02,,
199,3,49,0.99,0.07,0.02,0.02,,
200,4,0,0.01,0.09,0.02,0.02,,
201,4,1,0.03,0.09,0.02,0.02,,
202,4,2,0.05,0.09,0.02,0.02,,
203,4,3,0.07,0.09,0.02,0.02,,
204,4,4,0.09,0.09,0.02,0.02,,
205,4,5,0.11,0.09,0.02,0.02,,
206,4,6,0.13,0.09,0.02,0.02,,
207,4,7,0.15,0.09,0.02,0.02,,
208,4,8,0.17,0.09,0.02,0.02,,
209,4,9,0.19,0.09,0.02,0.02,,
210,4,10,0.21,0.09,0.02,0.02,,
211,4,11,0.23,0.09,0.02,0.02,,
212,4,12,0.25,0.09,0.02,0.02,,
213,4,13,0.27,0.09,0.02,0.02,,
214,4,14,0.29,0.09,0.02,0.02,,
215,4,15,0.31,0.09,0.02,0.02,,
216,4,16,0.33,0.09,0.02,0.02,,
217,4,17,0.35,0.09,0.02,0.02,,
218,4,18,0.37,0.09,0.02,0.02,,
219,4,19,0.39,0.09,0.02,0.02,,
220,4,20,0.41,0.09,0.02,0.02,,
221,4,21,0.43,0.09,0.02,0.02,,
222,4,22,0.45,0.09,0.02,0.02,,
223,4,23,0.47,0.09,0.02,0.02,,
224,4,24,0.49,0.09,0.02,0.02,,
225,4,25,0.51,0.09,0.02,0.02,,
226,4,26,0.53,0.09,0.02,0.02,,
227,4,27,0.55,0.09,0.02,0.02,,
228,4,28,0.57,0.09,0.02,0.02,,
229,4,29,0.59,0.09,0.02,0.02,,
230,4,30,0.61,0.09,0.02,0.02,,
231,4,31,0.63,0.09,0.02,0.02,,
232,4,32,0.65,0.09,0.02,0.02,,
233,4,33,0.67,0.09,0.02,0.02,,
234,4,34,0.69,0.09,0.02,0.02,,
235,4,35,0.71,0.09,0.02,0.02,,
236,4,36,0.73,0.09,0.02,0.02,,
237,4,37,0.75,0.09,0.02,0.02,,
238,4,38,0.77,0.09,0.02,0.02,,
239,4,39,0.79,0.09,0.02,0.02,,
240,4,40,0.81,0.09,0.02,0.02,,
241,4,41,0.83,0.09,0.02,0.02,,
242,4,42,0.85,0.09,0.02,0.02,,
243,4,43,0.87,0.09,0.02,0.02,,
244,4,44,0.89,0.09,0.02,0.02,,
245,4,45,0.91,0.09,0.02,0.02,,
246,4,46,0.93,0.09,0.02,0.02,,
247,4,47,0.95,0.09,0.02,0.02,,
248,4,48,0.97,0.09,0.02,0.02,,
249,4,49,0.99,0.09,0.02,0.02,,
250,5,0,0.01,0.11,0.02,0.02,,
251,5,1,0.03,0.11,0.02,0.02,,
252,5,2,0.05,0.11,0.02,0.02,,
253,5,3,0.07,0.11,0.02,0.02,,
254,5,4,0.09,0.11,0.02,0.02,,
255,5,5,0.11,0.11,0.02,0.02,,
256,5,6,0.13,0.11,0.02,0.02,,
257,5,7,0.15,0.11,0.02,0.02,,
258,5,8,0.17,0.11,0.02,0.02,,
259,5,9,0.19,0.11,0.02,0.02,,
260,5,10,0.21,0.11,0.02,0.02,,
261,5,11,0.23,0.11,0.02,0.02,,
262,5,12,0.25,0.11,0.02,0.02,,
263,5,13,0.27,0.11,0.02,0.02,,
264,5,14,0.29,0.11,0.02,0.02,,
265,5,15,0.31,0.11,0.02,0.02,,
266,5,16,0.33,0.11,0.02,0.02,,
267,5,17,0.35,0.11,0.02,0.02,,
268,5,18,0.37,0.11,0.02,0.02,,
269,5,19,0.39,0.11,0.02,0.02,,
270,5,20,0.41,0.11,0.02,0.02,,
271,5,21,0.43,0.11,0.02,0.02,,
272,5,22,0.45,0.11,0.02,0.02,,
273,5,23,0.47,0.11,0.02,0.02,,
274,5,24,0.49,0.11,0.02,0.02,,
275,5,25,0.51,0.11,0.02,0.02,,
276,5,26,0.53,0.11,0.02,0.02,,
277,5,27,0.55,0.11,0.02,0.02,,
278,5,28,0.57,0.11,0.02,0.02,,
279,5,29,0.59,0.11,0.02,0.02,,
280,5,30,0.61,0.11,0.02,0.02,,
281,5,31,0.63,0.11,0.02,0.02,,
282,5,32,0.65,0.11,0.02,0.02,,
283,5,33,0.67,0.11,0.02,0.02,,
284,5,34,0.69,0.11,0.02,0.02,,
285,5,35,0.71,0.11,0.02,0.02,,
286,5,36,0.73,0.11,0.02,0.02,,
287,5,37,0.75,0.11,0.02,0.02,,
288,5,38,0.77,0.11,0.02,0.02,,
289,5,39,0.79,0.11,0.02,0.02,,
290,5,40,0.81,0.11,0.02,0.02,,
291,5,41,0.83,0.11,0.02,0.02,,
292,5,42,0.85,0.11,0.02,0.02,,
293,5,43,0.87,0.11,0.02,0.02,,
294,5,44,0.89,0.11,0.02,0.02,,
295,5,45,0.91,0.11,0.02,0.02,,
296,5,46,0.93,0.11,0.02,0.02,,
297,5,47,0.95,0.11,0.02,0.02,,
298,5,48,0.97,0.11,0.02,0.02,,
299,5,49,0.99,0.11,0.02,0.02,,
300,6,0,0.01,0.13,0.02,0.02,,
301,6,1,0.03,0.13,0.02,0.02,,
302,6,2,0.05,0.13,0.02,0.02,,
303,6,3,0.07,0.13,0.02,0.02,,
304,6,4,0.09,0.13,0.02,0.02,,
305,6,5,0.11,0.13,0.02,0.02,,
306,6,6,0.13,0.13,0.02,0.02,,
307,6,7,0.15,0.13,0.02,0.02,,
308,6,8,0.17,0.13,0.02,0.02,,
309,6,9,0.19,0.13,0.02,0.02,,
310,6,10,0.21,0.13,0.02,0.02,,
311,6,11,0.23,0.13,0.02,0.02,,
312,6,12,0.25,0.13,0.02,0.02,,
313,6,13,0.27,0.13,0.02,0.02,,
314,6,14,0.29,0.13,0.02,0.02,,
315,6,15,0.31,0.13,0.02,0.02,,
316,6,16,0.33,0.13,0.02,0.02,,
317,6,17,0.35,0.13,0.02,0.02,,
318,6,18,0.37,0.13,0.02,0.02,,
319,6,19,0.39,0.13,0.02,0.02,,
320,6,20,0.41,0.13,0.02,0.02,,
321,6,21,0.43,0.13,0.02,0.02,,
322,6,22,0.45,0.13,0.02,0.02,,
323,6,23,0.47,0.13,0.02,0.02,,
324,6,24,0.49,0.13,0.02,0.02,,
325,6,25,0.51,0.13,0.02,0.02,,
326,6,26,0.53,0.13,0.02,0.02,,
327,6,27,0.55,0.13,0.02,0.02,,
328,6,28,0.57,0.13,0.02,0.02,,
329,6,29,0.59,0.13,0.02,0.02,,
330,6,30,0.61,0.13,0.02,0.02,,
331,6,31,0.63,0.13,0.02,0.02,,
332,6,32,0.65,0.13,0.02,0.02,,
333,6,33,0.67,0.13,0.02,0.02,,
334,6,34,0.69,0.13,0.02,0.02,,
335,6,35,0.71,0.13,0.02,0.02,,
336,6,36,0.73,0.13,0.02,0.02,,
337,6,37,0.75,0.13,0.02,0.02,,
338,6,38,0.77,0.13,0.02,0.02,,
339,6,39,0.79,0.13,0.02,0.02,,
340,6,40,0.81,0.13,0.02,0.02,,
341,6,41,0.83,0.13,0.02,0.02,,
342,6,42,0.85,0.13,0.02,0.02,,
343,6,43,0.87,0.13,0.02,0.02,,
344,6,44,0.89,0.13,0.02,0.02,,
345,6,45,0.91,0.13,0.02,0.02,,
346,6,46,0.93,0.13,0.02,0.02,,
347,6,47,0.95,0.13,0.02,0.02,,
348,6,48,0.97,0.13,0.02,0.02,,
349,6,49,0.99,0.13,0.02,0.02,,
350,7,0,0.01,0.15,0.02,0.02,,
351,7,1,0.03,0.15,0.02,0.02,,
352,7,2,0.05,0.15,0.02,0.02,,
353,7,3,0.07,0.15,0.02,0.02,,
354,7,4,0.09,0.15,0.02,0.02,,
355,7,5,0.11,0.15,0.02,0.02,,
356,7,6,0.13,0.15,0.02,0.02,,
357,7,7,0.15,0.15,0.02,0.02,,
358,7,8,0.17,0.15,0.02,0.02,,
359,7,9,0.19,0.15,0.02,0.02,,
360,7,10,0.21,0.15,0.02,0.02,,
361,7,11,0.23,0.15,0.02,0.02,,
362,7,12,0.25,0.15,0.02,0.02,,
363,7,13,0.27,0.15,0.02,0.02,,
364,7,14,0.29,0.15,0.02,0.02,,
365,7,15,0.31,0.15,0.02,0.02,,
366,7,16,0.33,0.15,0.02,0.02,,
367,7,17,0.35,0.15,0.02,0.02,,
368,7,18,0.37,0.15,0.02,0.02,,
369,7,19,0.39,0.15,0.02,0.02,,
370,7,20,0.41,0.15,0.02,0.02,,
371,7,21,0.43,0.15,0.02,0.02,,
372,7,22,0.45,0.15,0.02,0.02,,
373,7,23,0.47,0.15,0.02,0.02,,
374,7,24,0.49,0.15,0.02,0.02,,
375,7,25,0.51,0.15,0.02,0.02,,
376,7,26,0.53,0.15,0.02,0.02,,
377,7,27,0.55,0.15,0.02,0.02,,
378,7,28,0.57,0.15,0.02,0.02,,
379,7,29,0.59,0.15,0.02,0.02,,
380,7,30,0.61,0.15,0.02,0.02,,
381,7,31,0.63,0.15,0.02,0.02,,
382,7,32,0.65,0.15,0.02,0.02,,
383,7,33,0.67,0.15,0.02,0.02,,
384,7,34,0.69,0.15,0.02,0.02,,
385,7,35,0.71,0.15,0.02,0.02,,
386,7,36,0.73,0.15,0.02,0.02,,
387,7,37,0.75,0.15,0.02,0.02,,
388,7,38,0.77,0.15,0.02,0.02,,
389,7,39,0.79,0.15,0.02,0.02,,
390,7,40,0.81,0.15,0.02,0.02,,
391,7,41,0.83,0.15,0.02,0.02,,
392,7,42,0.85,0.15,0.02,0.02,,
393,7,43,0.87,0.15,0.02,0.02,,
394,7,44,0.89,0.15,0.02,0.02,,
395,7,45,0.91,0.15,0.02,0.02,,
396,7,46,0.93,0.15,0.02,0.02,,
397,7,47,0.95,0.15,0.02,0.02,,
398,7,48,0.97,0.15,0.02,0.02,,
399,7,49,0.99,0.15,0.02,0.02,,
400,8,0,0.01,0.17,0.02,0.02,,
401,8,1,0.03,0.17,0.02,0.02,,
402,8,2,0.05,0.17,0.02,0.02,,
403,8,3,0.07,0.17,0.02,0.02,,
404,8,4,0.09,0.17,0.02,0.02,,
405,8,5,0.11,0.17,0.02,0.02,,
406,8,6,0.13,0.17,0.02,0.02,,
407,8,7,0.15,0.17,0.02,0.02,,
408,8,8,0.17,0.17,0.02,0.02,,
409,8,9,0.19,0.17,0.02,0.02,,
410,8,10,0.21,0.17,0.02,0.02,,
411,8,11,0.23,0.17,0.02,0.02,,
412,8,12,0.25,0.17,0.02,0.02,,
413,8,13,0.27,0.17,0.02,0.02,,
414,8,14,0.29,0.17,0.02,0.02,,
415,8,15,0.31,0.17,0.02,0.02,,
416,8,16,0.33,0.17,0.02,0.02,,
417,8,17,0.35,0.17,0.02,0.02,,
418,8,18,0.37,0.17,0.02,0.02,,
419,8,19,0.39,0.17,0.02,0.02,,
420,8,20,0.41,0.17,0.02,0.02,,
421,8,21,0.43,0.17,0.02,0.02,,
422,8,22,0.45,0.17,0.02,0.02,,
423,8,23,0.47,0.17,0.02,0.02,,
424,8,24,0.49,0.17,0.02,0.02,,
425,8,25,0.51,0.17,0.02,0.02,,
426,8,26,0.53,0.17,0.02,0.02,,
427,8,27,0.55,0.17,0.02,0.02,,
428,8,28,0.57,0.17,0.02,0.02,,
429,8,29,0.59,0.17,0.02,0.02,,
430,8,30,0.61,0.17,0.02,0.02,,
431,8,31,0.63,0.17,0.02,0.02,,
432,8,32,0.65,0.17,0.02,0.02,,
433,8,33,0.67,0.17,0.02,0.02,,
434,8,34,0.69,0.17,0.02,0.02,,
435,8,35,0.71,0.17,0.02,0.02,,
436,8,36,0.73,0.17,0.02,0.02,,
437,8,37,0.75,0.17,0.02,0.02,,
438,8,38,0.77,0.17,0.02,0.02,,
439,8,39,0.79,0.17,0.02,0.02,,
440,8,40,0.81,0.17,0.02,0.02,,
441,8,41,0.83,0.17,0.02,0.02,,
442,8,42,0.85,0.17,0.02,0.02,,
443,8,43,0.87,0.17,0.02,0.02,,
444,8,44,0.89,0.17,0.02,0.02,,
445,8,45,0.91,0.17,0.02,0.02,,
446,8,46,0.93,0.17,0.02,0.02,,
447,8,47,0.95,0.17,0.02,0.02,,
448,8,48,0.97,0.17,0.02,0.02,,
449,8,49,0.99,0.17,0.02,0.02,,
450,9,0,0.01,0.19,0.02,0.02,,
451,9,1,0.03,0.19,0.02,0.02,,
452,9,2,0.05,0.19,0.02,0.02,,
453,9,3,0.07,0.19,0.02,0.02,,
454,9,4,0.09,0.19,0.02,0.02,,
455,9,5,0.11,0.19,0.02,0.02,,
456,9,6,0.13,0.19,0.02,0.02,,
457,9,7,0.15,0.19,0.02,0.02,,
458,9,8,0.17,0.19,0.02,0.02,,
459,9,9,0.19,0.19,0.02,0.02,,
460,9,10,0.21,0.19,0.02,0.02,,
461,9,11,0.23,0.19,0.02,0.02,,
462,9,12,0.25,0.19,0.02,0.02,,
463,9,13,0.27,0.19,0.02,0.02,,
464,9,14,0.29,0.19,0.02,0.02,,
465,9,15,0.31,0.19,0.02,0.02,,
466,9,16,0.33,0.19,0.02,0.02,,
467,9,17,0.35,0.19,0.02,0.02,,
468,9,18,0.37,0.19,0.02,0.02,,
469,9,19,0.39,0.19,0.02,0.02,,
470,9,20,0.41,0.19,0.02,0.02,,
471,9,21,0.43,0.19,0.02,0.02,,
472,9,22,0.45,0.19,0.02,0.02,,
473,9,23,0.47,0.19,0.02,0.02,,
474,9,24,0.49,0.19,0.02,0.02,,
475,9,25,0.51,0.19,0.02,0.02,,
476,9,26,0.53,0.19,0.02,0.02,,
477,9,27,0.55,0.19,0.02,0.02,,
478,9,28,0.57,0.19,0.02,0.02,,
479,9,29,0.59,0.19,0.02,0.02,,
480,9,30,0.61,0.19,0.02,0.02,,
481,9,31,0.63,0.19,0.02,0.02,,
482,9,32,0.65,0.19,0.02,0.02,,
483,9,33,0.67,0.19,0.02,0.02,,
484,9,34,0.69,0.19,0.02,0.02,,
485,9,35,0.71,0.19,0.02,0.02,,
486,9,36,0.73,0.19,0.02,0.02,,
487,9,37,0.75,0.19,0.02,0.02,,
488,9,38,0.77,0.19,0.02,0.02,,
489,9,39,0.79,0.19,0.02,0.02,,
490,9,40,0.81,0.19,0.02,0.02,,
491,9,41,0.83,0.19,0.02,0.02,,
492,9,42,0.85,0.19,0.02,0.02,,
493,9,43,0.87,0.19,0.02,0.02,,
494,9,44,0.89,0.19,0.02,0.02,,
495,9,45,0.91,0.19,0.02,0.02,,
496,9,46,0.93,0.19,0.02,0.02,,
497,9,47,0.95,0.19,0.02,0.02,,
498,9,48,0.97,0.19,0.02,0.02,,
499,9,49,0.99,0.19,0.02,0.02,,
500,10,0,0.01,0.21,0.02,0.02,,
501,10,1,0.03,0.21,0.02,0.02,,
502,10,2,0.05,0.21,0.02,0.02,,
503,10,3,0.07,0.21,0.02,0.02,,
504,10,4,0.09,0.21,0.02,0.02,,
505,10,5,0.11,0.21,0.02,0.02,,
506,10,6,0.13,0.21,0.02,0.02,,
507,10,7,0.15,0.21,0.02,0.02,,
508,10,8,0.17,0.21,0.02,0.02,,
509,10,9,0.19,0.21,0.02,0.02,,
510,10,10,0.21,0.21,0.02,0.02,,
511,10,11,0.23,0.21,0.02,0.02,,
512,10,12,0.25,0.21,0.02,0.02,,
513,10,13,0.27,0.21,0.02,0.02,,
514,10,14,0.29,0.21,0.02,0.02,,
515,10,15,0.31,0.21,0.02,0.02,,
516,10,16,0.33,0.21,0.02,0.02,,
517,10,17,0.35,0.21,0.02,0.02,,
518,10,18,0.37,0.21,0.02,0.02,,
519,10,19,0.39,0.21,0.02,0.02,,
520,10,20,0.41,0.21,0.02,0.02,,
521,10,21,0.43,0.21,0.02,0.02,,
522,10,22,0.45,0.21,0.02,0.02,,
523,10,23,0.47,0.21,0.02,0.02,,
524,10,24,0.49,0.21,0.02,0.02,,
525,10,25,0.51,0.21,0.02,0.02,,
526,10,26,0.53,0.21,0.02,0.02,,
527,10,27,0.55,0.21,0.02,0.02,,
528,10,28,0.57,0.21,0.02,0.02,,
529,10,29,0.59,0.21,0.02,0.02,,
530,10,30,0.61,0.21,0.02,0.02,,
531,10,31,0.63,0.21,0.02,0.02,,
532,10,32,0.65,0.21,0.02,0.02,,
533,10,33,0.67,0.21,0.02,0.02,,
534,10,34,0.69,0.21,0.02,0.02,,
535,10,35,0.71,0.21,0.02,0.02,,
536,10,36,0.73,0.21,0.02,0.02,,
537,10,37,0.75,0.21,0.02,0.02,,
538,10,38,0.77,0.21,0.02,0.02,,
539,10,39,0.79,0.21,0.02,0.02,,
540,10,40,0.81,0.21,0.02,0.02,,
541,10,41,0.83,0.21,0.02,0.02,,
542,10,42,0.85,0.21,0.02,0.02,,
543,10,43,0.87,0.21,0.02,0.02,,
544,10,44,0.89,0.21,0.02,0.02,,
545,10,45,0.91,0.21,0.02,0.02,,
546,10,46,0.93,0.21,0.02,0.02,,
547,10,47,0.95,0.21,0.02,0.02,,
548,10,48,0.97,0.21,0.02,0.02,,
549,10,49,0.99,0.21,0.02,0.02,,
550,11,0,0.01,0.23,0.02,0.02,,
551,11,1,0.03,0.23,0.02,0.02,,
552,11,2,0.05,0.23,0.02,0.02,,
553,11,3,0.07,0.23,0.02,0.02,,
554,11,4,0.09,0.23,0.02,0.02,,
555,11,5,0.11,0.23,0.02,0.02,,
556,11,6,0.13,0.23,0.02,0.02,,
557,11,7,0.15,0.23,0.02,0.02,,
558,11,8,0.17,0.23,0.02,0.02,,
559,11,9,0.19,0.23,0.02,0.02,,
560,11,10,0.21,0.23,0.02,0.02,,
561,11,11,0.23,0.23,0.02,0.02,,
562,11,12,0.25,0.23,0.02,0.02,,
563,11,13,0.27,0.23,0.02,0.02,,
564,11,14,0.29,0.23,0.02,0.02,,
565,11,15,0.31,0.23,0.02,0.02,,
566,11,16,0.33,0.23,0.02,0.02,,
567,11,17,0.35,0.23,0.02,0.02,,
568,11,18,0.37,0.23,0.02,0.02,,
569,11,19,0.39,0.23,0.02,0.02,,
570,11,20,0.41,0.23,0.02,0.02,,
571,11,21,0.43,0.23,0.02,0.02,,
572,11,22,0.45,0.23,0.02,0.02,,
573,11,23,0.47,0.23,0.02,0.02,,
574,11,24,0.49,0.23,0.02,0.02,,
575,11,25,0.51,0.23,0.02,0.02,,
576,11,26,0.53,0.23,0.02,0.02,,
577,11,27,0.55,0.23,0.02,0.02,,
578,11,28,0.57,0.23,0.02,0.02,,
579,11,29,0.59,0.23,0.02,0.02,,
580,11,30,0.61,0.23,0.02,0.02,,
